,BibliographyID,Language,Addressed problem,Publication,Problem concise,rq1_data_broad_source,rq1_project_name,rq1_repository_name,rq1_benchmark_name,Granularity,rq1_broad_type,rq1_sub_type,L1_repr,L2_repr,rq2_embedding,rq2_embedding_broad_cat,Vulnerability types (RQ4),Tools,broad_category,model_family,RQ3,Detection granularity (RQ5),Interpretable (RQ7),Abstract,,Further explanation
,fu2022linevul,C/C++,"Despite the success of current data-driven approaches in the identification of software vulnerabilities, they are often limited to a coarse level of granularity. The model outputs often present developers with limited information for prediction outcome validation and interpretation, leading to extra efforts when evaluating and mitigating the software vulnerabilities",LineVul: A Transformer-based Line-Level Vulnerability Prediction,Granularity,Hybrid,N.A,CVE,Big-Vul,"functions, CDG, DDG",Code,Source code,Graph,N.A,codeBERT,Token vector embedding,"CWE-787, CWE-20, CWE-22, CWE-190, CWE-119, CWE-200, CWE-77","Transformers, PyTorch",DL,GNN,GAT,Binary,No,"Software vulnerabilities are prevalent in software systems, causing a variety of problems including deadlock, information loss, or system failures. Thus, early predictions of software vulnerabilities are critically important in safety-critical software systems. Various ML/DL-based approaches have been proposed to predict vulnerabilities at the file/function/method level. Recently, IVDetect (a graph-based neural network) is proposed to predict vulnerabilities at the function level. Yet, the IVDetect approach is still inaccurate and coarse-grained. In this paper, we propose LINEVUL, a Transformer-based line-level vulnerability prediction approach in order to address several limitations of the state-of-the-art IVDetect approach. Through an empirical evaluation of a large-scale real-world dataset with 188k+ C/C++ functions, we show that LINEVUL achieves (1) 160%-379% higher F1-measure for function-level predictions; (2) 12%-25% higher Top-10 Accuracy for line-level predictions; and (3) 29%-53% less Effort@20%Recall than the baseline approaches, highlighting the significant advancement of LINEVUL towards more accurate and more cost-effective line-level vulnerability predictions. Our additional analysis also shows that our LINEVUL is also very accurate (75%-100%) for predicting vulnerable functions affected by the Top-25 most dangerous CWEs, highlighting the potential impact of our LINEVUL in real-world usage scenarios.",,
,le2018maximal,C/C++,"Existing approaches are using hand crafted features, there is no extensive data set for binary vulnerability detection as source codes are not compilable, the datasets often suffer from shortage in labeled samples",Maximal divergence sequential autoencoder for binary software vulnerability detection,Rely on expert rules,Benchmark,N.A,N.A,NDSS,functions,Code,Binary code,Token,N.A,One hot embedding,Others,"CWE-119, CWE399","Keras/TensorFlow, Joern",DL,DNN,SEQUENTIAL AUTO-ENCODER,Binary,No,"Due to the sharp increase in the severity of the threat imposed by software vulnerabilities, the detection of vulnerabilities in binary code has become an important concern in the software industry, such as the embedded systems industry, and in the field of computer security. However, most of the work in binary code vulnerability detection has relied on handcrafted features which are manually chosen by a select few, knowledgeable domain experts. In this paper, we attempt to alleviate this severe binary vulnerability detection bottleneck by leveraging recent advances in deep learning representations and propose the Maximal Divergence Sequential Auto-Encoder. In particular, latent codes representing vulnerable and non-vulnerable binaries are encouraged to be maximally divergent, while still being able to maintain crucial information from the original binaries. We conducted extensive experiments to compare and contrast our proposed methods with the baselines, and the results show that our proposed methods outperform the baselines in all performance measures of interest.",,https://docs.google.com/document/d/1sYGdzKl8-sTOt9-eE4ak_CsHZwupgsvMPtkpFnyKC6Y/edit?usp=sharing
,zou2019mu,C/C++,"This paper addresses the previous and state-of-the-art paper called VulDeePecker in two folds; 1) VulDeePecker is a binary vulnerability detection meaning that it is only able to tell whether a component is buggy or not, 2) VulDeePecker can not tell us types of vulnerabilities, the type is important since it helps us to pinpoint the exact location of vulnerability which is very crucial for software testers. ",muVulDeePecker A deep learning based system for multiclass vulnerability detection,Granularity,Benchmark,N.A,N.A,"SARD, NVD",Code gadgets over functions,Code,Source code,Graph,N.A,Word2vec,Token vector embedding,N.A,"Keras/TensorFlow, Joern",DL,RNN,BiLSTM,Multi,No,"Multiclass Vulnerability Dataset (MVD) is a database for research on multiclass vulnerability detection with deep learning. The dataset is based on the NIST Software Assurance Reference Dataset (SARD) and National Vulnerability Database (NVD). Up to now, it has possessed 181641 code gadgets, covering 40 types of vulnerabilities. Each code gadget in MVD is composed of multiple program statements, which have direct or indirect data-dependence and control-dependence relationships with the library/API function calls. In total, the code gadgets in MVD are extracted from 33409 testcases of SARD and NVD, 138522 code gadgets of which are non-vulnerable and 43119 are vulnerable. In this repository, the compressed file mvd.txt.zip stores 181641 code gadgets and their corresponding labels. The file named label2CWE.txt records the mapping relationship between each label and the corresponding vulnerability. The folder source files contains 33,409 source files for extracting code gadgets.",,https://docs.google.com/document/d/1iSeN55RTNWG-MNo0MUMjb52Ny4yitXXKfvWT4rAbop0/edit?usp=sharing
,cao2022mvd,C/C++,"Flow Information Underutilization, Coarse Granularity, Fully Utilizing Flow Information, Fine Granularity",MVD: Memory-Related Vulnerability Detection Based on Flow-Sensitive Graph Neural Networks,Granularity,Hybrid,"Linux Kernel, FFmpeg, Asterisk, Libarchive, Libming, LibTIFF, Libav, LibPNG, QEMU, Wireshark","CVE, GitHub","NVD, SARD",PDG over functions,Code,Source code,Graph,N.A,"Doc2vec, FS-GNN",Graph embedding,"CWE-119, CWE-120, CWE-121, CWE-122, CWE-124, CWE-125, CWE-126, CWE-401, CWE-415, CWE-416, CWE-476, CWE-787, CWE-824","Keras/TensorFlow, Joern",DL,GNN,GNN,Binary,No,"Memory-related vulnerabilities constitute severe threats to the security of modern software. Despite the success of deep learning-based approaches to generic vulnerability detection, they are still limited by the underutilization of flow information when applied for detecting memory-related vulnerabilities, leading to high false positives. In this paper, we propose MVD, a statement-level <u>M</u>emory-related <u>V</u>ulnerability <u>D</u>etection approach based on flow-sensitive graph neural networks (FS-GNN). FS-GNN is employed to jointly embed both unstructured information (i.e., source code) and structured information (i.e., control- and data-flow) to capture implicit memory-related vulnerability patterns. We evaluate MVD on the dataset which contains 4,353 real-world memory-related vulnerabilities, and compare our approach with three state-of-the-art deep learning-based approaches as well as five popular static analysis-based memory detectors. The experiment results show that MVD achieves better detection accuracy, outperforming both state-of-the-art DL-based and static analysis-based approaches. Furthermore, MVD makes a great trade-off between accuracy and efficiency.",,
,ghaffarian2021neural,Java,Explore the utilization ofGraph Neural Networksas the latest trend and progress in the field of artificial neural networks.,Neural software vulnerability analysis using rich intermediate graph representations of programs,Others,Hybrid,"Path Traversal, Command Injection, Cross-Site Scripting, SQL Injection, LDAP Injection, Trust Boundary Violation, XPATH Injection",N.A,OWASP benchmark suit,CPG over files,Code,Source code,Graph,N.A,"TF-IDF, Doc2Vec, GCN, GAT",Hybrid,"CWE-22, CWE-78, CWE-89, CWE-90, CWE-501, CWE-643","scikit-learn, Networkx, GenSim, Keras/TensorFlow",DL,GNN,"GAT, GCN",Binary,No,"Security vulnerabilities are among the major concerns of modern software engineering. Successful results of machine learning techniques in various challenging applications have led to an emerging field of research to investigate the effectiveness of machine learning, and more recently, deep learning techniques, for the problem of software vulnerability analysis and discovery. In this paper, we explore the utilization of Graph Neural Networks as the latest trend and progress in the field of artificial neural networks. To this end, we propose an original neural vulnerability analysis approach, using customized intermediate graph representations of programs to train graph neural network models. Experimental results on a public suite of vulnerable programs show that the proposed approach is effective at the task of software vulnerability analysis. Additional empirical experiments answer complementary research questions about the proposed approach. In particular, we present experimental results for the challenging task of cross-project vulnerability analysis, with interesting insights on the capabilities of our novel approach. Furthermore, a software utility that was developed in the course of this study is also published as a further contribution to the research community.",,https://docs.google.com/document/d/16C_5jI615Zifr5ErOqhLrsCOYlEpEF-uhBSyg2iR6_s/edit?usp=sharing
,wu2021peculiar,Solidity,"SmartEmbed is such an approach, which uses a deep-learning model to determine whether the detected contract is vulnerable by calculating the similarity with the contracts in a bug However, its bug database is in limited scale, with only 52 known buggy smart contracts. Moreover, it performs bug detection at the statement level of granularity, without taking full advantage of the code structure and semantic information in smart contracts. Zhuang et al. construct a contract graph to represent both syntactic and semantic features of a smart contract function and using graph neural networks (GNNs) for smart contracts. However, we observe that the graph it uses is intricate for representing the program. It not only considers three types of nodes but also involves complex edge information.",Peculiar: Smart Contract Vulnerability Detection Based on Crucial Data Flow Graph and Pre-training Techniques,Semantic,Benchmark,N.A,N.A,Smartbugs Wild,CDFG over files,Code,Source code,Graph,N.A,GraphCodeBERT,Transformer Embedding,N.A,tree-sitter,DL,Transformers,GraphCodeBERT,Binary,No,"Smart contracts with natural economic attributes have been widely and rapidly developed in various fields. However, the bugs and vulnerabilities in smart contracts have brought huge economic losses, which has strengthened people's attention to the security issues of smart contracts. The immutability of smart contracts makes people more willing to conduct security checks before deploying smart contracts. Nonetheless, existing smart contract vulnerability detection techniques are far away from enough: static analysis approaches rely heavily on manually crafted heuristics which is difficult to reuse across different types of vulnerabilities while deep learning based approaches also have unique limitations. In this study, we propose a novel approach, Peculiar, which uses Pre-training technique for detection of smart contract vulnerabilities based on crucial data flow graph. Compared against the traditional data flow graph which is already utilized in existing approach, crucial data flow graph is less complex and does not bring an unnecessarily deep hierarchy, which makes the model easy to focus on the critical features. Moreover, we also involve pre-training technique in our model due to the dramatic improvements it has achieved on a variety of NLP tasks. Our empirical results show that Peculiar can achieve 91.80 % precision and 92.40 % recall in detecting reentrancy vulnerability, one of the most severe and common smart contract vulnerabilities, on 40,932 smart contract files, which is significantly better than the state-of-the-art methods (e.g., Smartcheck achieves 79.37% precision and 70.50% recall). Meanwhile, another experiment shows that Peculiar is more discerning to reentrancy vulnerability than existing approaches. The ablation experiment reveals that both crucial data flow graph and pre-trained model contribute significantly to the performances of Peculiar.",,
,scandariato2014predicting,Java,Investigate the potential of Text mining approaches to predict vulnerable sofware components,Predicting Vulnerable Software Components via Text Mining,Consider other data sources,Hybrid,"AnkiDroid, BoardGameGeek, Connectbot, CoolReader, Crosswords, FBReader, K9Mail, KeePassAndroid, MileageTracker, Mustard, Browser, Calender, Camera, Contacts, DeskClock, Dialer, Email, Gallery, Mms, QuickSearchBox",N.A,"F-Droid, Android IOS",files,Code,Source code,Token,N.A,Term Frequency,Others,N.A,N.A,ML,N.A,"Decision Trees, KNN, Naive Bayes, Random Forest, SVM",Binary,No,"This paper presents an approach based on machine learning to predict which components of a software application contain security vulnerabilities. The approach is based on text mining the source code of the components. Namely, each component is characterized as a series of terms contained in its source code, with the associated frequencies. These features are used to forecast whether each component is likely to contain vulnerabilities. In an exploratory validation with 20 Android applications, we discovered that a dependable prediction model can be built. Such model could be useful to prioritize the validation activities, e.g., to identify the components needing special scrutiny.",,https://docs.google.com/document/d/1ZaHly2Eg52LdpgHCxs5ZTyY2gyvZqkGf-MT6HlXgHiQ/edit?usp=sharing
,zhuang2020smart,Solidity,"existing methods heavily rely on several expert-defined hard rules (or patterns) to detect smart contract vulnerability. However, expert rules are error-prone and some complex patterns are non-trivial to be covered. Second, since the rules are contributed by a few ‘centralized’ experts who develop the detection tools, their scalability is inherently limited. As the number of smart contracts is increasing rapidly, it is impossible for a few experts to sift through all the contracts to design precise rules, while the knowledge of other ‘decentralized’ experts cannot be incorporated to improve the model",Smart Contract Vulnerability Detection Using Graph Neural Networks,Rely on expert rules,Benchmark,N.A,N.A,"ESC, VSC",Contract Graph over files,Code,Source code,Graph,N.A,DR-GCN,Graph embedding,N.A,N.A,DL,GNN,GCN ,Binary,No,"The security problems of smart contracts have drawn extensive attention due to the enormous financial losses caused by vulnerabilities. Existing methods on smart contract vulnerability detection heavily rely on fixed expert rules, leading to low detection accuracy. In this paper, we explore using graph neural networks (GNNs) for smart contract vulnerability detection. Particularly, we construct a contract graph to represent both syntactic and se-
mantic structures of a smart contract function. To highlight the major nodes, we design an elimination phase to normalize the graph. Then, we propose a degree-free graph convolutional neural network (DR-GCN) and a novel temporal message propaga- tion network (TMP) to learn from the normalized graphs for vulnerability detection. Extensive experiments show that our proposed approach significantly outperforms state-of-the-art methods in de-tecting three different types of vulnerabilities.",,
,li2017software,Java,"Modeling structural information in ASTs is important. For example, order of execution regarding API calls. ",Software Defect Prediction Via Convolutional Neural Networks,Semantic,Hybrid,"camel, jEdit, lucene, xalan, xerces, synapse, poi",N.A,PROMISE,AST over files,Code,Source code,Tree,N.A,Word2vec,Token vector embedding,N.A,"javalang, Keras/TensorFlow",DL,CNN,CNN,Binary,No,"To improve software reliability, software defect prediction is utilized to assist developers in finding potential bugs and allocating their testing efforts. Traditional defect prediction studies mainly focus on designing hand-crafted features, which are input into machine learning classifiers to identify defective code. However, these hand-crafted features often fail to capture the semantic and structural information of programs. Such information is important in modeling program functionality and can lead to more accurate defect prediction. In this paper, we propose a framework called Defect Prediction via Convolutional Neural Network (DP-CNN), which leverages deep learning for effective feature generation. Specifically, based on the programs' Abstract Syntax Trees (ASTs), we first extract token vectors, which are then encoded as numerical vectors via mapping and word embedding. We feed the numerical vectors into Convolutional Neural Network to automatically learn semantic and structural features of programs. After that, we combine the learned features with traditional hand-crafted features, for accurate software defect prediction. We evaluate our method on seven open source projects in terms of F-measure in defect prediction. The experimental results show that in average, DP-CNN improves the state-of-the-art method by 12%.",,
,lin2019software,C/C++,"The existing ML-based vulnerability/defect detection approaches, such as [18], [45], [53], have been constructed based on the assumption of the availability of sufficient labeled training data from the homogeneous sources.",Software Vulnerability Discovery via Learning Multi-Domain Knowledge Bases,Training data problem,Hybrid,"FFmpeg, LibTIFF, LibPNG, Pidgin, VLC media player, Asterisk",CVE,SARD,AST over functions,Code,Source code,Tree,N.A,Word2vec,Token vector embedding,"CWE-119, CWE-189","Keras/TensorFlow, scikit-learn, GenSim",DL,RNN,BiLSTM,Binary,No,"Machine learning (ML) has great potential in automated code vulnerability discovery. However, automated discovery application driven by off-the-shelf machine learning tools often performs poorly due to the shortage of high-quality training data. The scarceness of vulnerability data is almost always a problem for any developing software project during its early stages, which is referred to as the cold-start problem. This article proposes a framework that utilizes transferable knowledge from pre-existing data sources. In order to improve the detection performance, multiple vulnerability-relevant data sources were selected to form a broader base for learning transferable knowledge. The selected vulnerability-relevant data sources are cross-domain, including historical vulnerability data from different software projects and data from the Software Assurance Reference Database (SARD) consisting of synthetic vulnerability examples and proof-of-concept test cases. To extract the information applicable in vulnerability detection from the cross-domain data sets, we designed a deep-learning-based framework with Long-short Term Memory (LSTM) cells. Our framework combines the heterogeneous data sources to learn unified representations of the patterns of the vulnerable source codes. Empirical studies showed that the unified representations generated by the proposed deep learning networks are feasible and effective, and are transferable for real-world vulnerability detection. Our experiments demonstrated that by leveraging two heterogeneous data sources, the performance of our vulnerability detection outperformed the static vulnerability discovery tool Flawfinder . The findings of this article may stimulate further research in ML-based vulnerability detection using heterogeneous data sources.",,https://docs.google.com/document/d/1CDKBPuXkLugkauRm27vhp5ug2ilO_p-1XxcJdEplTuc/edit?usp=sharing
,li2021sysevr,C/C++,How can we represent programs as vectors that accommodate the syntax and semantic information that is suitable for vulnerability detection?,SySeVR A framework for using deep learning to detect software vulnerabilities,Semantic,Benchmark,N.A,N.A,"NVD, SARD",Simplified Property Graph (SPG),Code,Source code,Graph,N.A,Word2vec,Token vector embedding,N.A,Keras/TensorFlow,DL,RNN,BGRU,Binary,No,"The detection of software vulnerabilities (or vulnerabilities for short) is an important problem that has yet to be tackled, as manifested by the many vulnerabilities reported on a daily basis. This calls for machine learning methods for vulnerability detection. Deep learning is attractive for this purpose because it alleviates the requirement to manually define features. Despite the tremendous success of deep learning in other application domains, its applicability to vulnerability detection is not systematically understood. In order to fill this void, we propose the first systematic framework for using deep learning to detect vulnerabilities in C/C++ programs with source code. The framework, dubbed Syntax-based, Semantics-based, and Vector Representations (SySeVR), focuses on obtaining program representations that can accommodate syntax and semantic information pertinent to vulnerabilities. Our experiments with four software products demonstrate the usefulness of the framework: we detect 15 vulnerabilities that are not reported in the National Vulnerability Database. Among these 15 vulnerabilities, seven are unknown and have been reported to the vendors, and the other eight have been “silently” patched by the vendors when releasing newer versions of the pertinent software products.",,https://docs.google.com/document/d/1BBcZw2kWxy8_2VeFoVIPTQRwCw_1gP4qJ7cq7ptJL-w/edit?usp=sharing
,filus2020random,C/C++,Other,The random neural network as a bonding model for software vulnerability prediction,Others,Benchmark,N.A,N.A,"NVD, SARD",functions,Code,Source code,Token,N.A,Word2vec,Token vector embedding,"CWE-119, CWE-399",Keras/TensorFlow,DL,Hybrid,"CNN, RNN",Binary,No,"Software vulnerability prediction is an important and active area of research where new methods are needed to build accurate and efficient tools that can identify security issues. Thus we propose an approach based on mixed features that combines text mining features and the features generated using a Static Code Analyzer. We use a Random Neural Network as a bonding model that combines the text analysis that is carried out on software using a Convolutional Neural Network, and the outputs of Static Code Analysis. The proposed approach was evaluated on commonly used datasets and led to 97% training accuracy, and 93%–94% testing accuracy, with a 1% reduction in false positives with respect to previously published results on similar data sets.",,
,riom2021revisiting,*,"Metra data information is neglected. Considering features extracted from repositories separately to together. Source codes are not prioritized according to their vulnerabilities. Features only extracted from source codes are not enough, metadata information also required.",VCCFinder: Finding Potential Vulnerabilities in Open-Source Projects to Assist Code Audits,Consider other data sources,Repository,N.A,"CVE, GitHub",N.A,Commits files characteristics,Numerical,Commit Metrics,Commit Metrics,N.A,"Word2vec, commit metrics",Others,N.A,LibLinear,ML,N.A,SVM,Binary,No,"Despite the security community's best effort, the number of serious vulnerabilities discovered in software is increasing rapidly. In theory, security audits should find and remove the vulnerabilities before the code ever gets deployed. However, due to the enormous amount of code being produced, as well as a the lack of manpower and expertise, not all code is sufficiently audited. Thus, many vulnerabilities slip into production systems. A best-practice approach is to use a code metric analysis tool, such as Flawfinder, to flag potentially dangerous code so that it can receive special attention. However, because these tools have a very high false-positive rate, the manual effort needed to find vulnerabilities remains overwhelming. In this paper, we present a new method of finding potentially dangerous code in code repositories with a significantly lower false-positive rate than comparable systems. We combine code-metric analysis with metadata gathered from code repositories to help code review teams prioritize their work. The paper makes three contributions. First, we conducted the first large-scale mapping of CVEs to GitHub commits in order to create a vulnerable commit database. Second, based on this database, we trained a SVM classifier to flag suspicious commits. Compared to Flawfinder, our approach reduces the amount of false alarms by over 99 % at the same level of recall. Finally, we present a thorough quantitative and qualitative analysis of our approach and discuss lessons learned from the results. We will share the database as a benchmark for future research and will also provide our analysis tool as a web service.",,https://docs.google.com/document/d/12_J7x8AI-AguIaviydRosgn-yKs5Rj4hmwclZN41_f8/edit?usp=sharing
,li2021vuldeelocator,C/C++,"Capturing the relations between semantically-related statements across program, Accommodating accurate control flows and variable define-use relations, We observe that although they operate on program slices (which are fine-grained than functions), a program slice can have many lines of code.",Vuldeelocator a deep learning based fine grained vulnerability detector,Semantic,Hybrid,"Linux Kernel, OpenSSL, FFmpeg, Wireshark, Libtiff",N.A,"NVD, SARD",AST over functions,Code,Source code,Tree,N.A,Word2vec,Token vector embedding,"CWE-127, CWE-78",Keras/TensorFlow,DL,RNN,"BiLSTM, BGRU",Binary,Yes," Automatically detecting software vulnerabilities is an important problem that has attracted much attention from the academic research community. However, existing vulnerability detectors still cannot achieve the vulnerability detection capability and the locating precision that would warrant their adoption for real-world use. In this paper, we present a vulnerability detector that can simultaneously achieve a high detection capability and a high locating precision, dubbed Vulnerability Deep learning-based Locator (VulDeeLocator). In the course of designing VulDeeLocator, we encounter difficulties including how to accommodate semantic relations between the definitions of types as well as macros and their uses across files, how to accommodate accurate control flows and variable define-use relations, and how to achieve high locating precision. We solve these difficulties by using two innovative ideas: (i) leveraging intermediate code to accommodate extra semantic information, and (ii) using the notion of granularity refinement to pin down locations of vulnerabilities. When applied to 200 files randomly selected from three real-world software products, VulDeeLocator detects 18 confirmed vulnerabilities (i.e., true-positives). Among them, 16 vulnerabilities correspond to known vulnerabilities; the other two are not reported in the National Vulnerability Database (NVD) but have been ""silently"" patched by the vendor of Libav when releasing newer versions. ",,https://docs.google.com/document/d/1ywCDNuZUJUpptLmAkcnw_AhJ-idinwnS-9OKW_1NkN4/edit
,li2018vuldeepecker,C/C++,"Manual design of features and high false positive rate. Given the source code of a target program, how can we determine whether or not the target program is vulnerable and if so, where are the vulnerabilities",Vuldeepecker A deep learning based system for vulnerability detection,High false positive of static analyzers,Benchmark,N.A,N.A,"NVD, SARD",code gadgets over functions,Code,Source code,Graph,N.A,Word2vec,Token vector embedding,"CWE-119, CWE-399","Theano, Keras/TensorFlow",DL,RNN,BiLSTM,Binary,No,"The automatic detection of software vulnerabilities is an important research problem. However, existing solutions to this problem rely on human experts to define features and often miss many vulnerabilities (i.e., incurring high false negative rate). In this paper, we initiate the study of using deep learning-based vulnerability detection to relieve human experts from the tedious and subjective task of manually defining features. Since deep learning is motivated to deal with problems that are very different from the problem of vulnerability detection, we need some guiding principles for applying deep learning to vulnerability detection. In particular, we need to find representations of software programs that are suitable for deep learning. For this purpose, we propose using code gadgets to represent programs and then transform them into vectors, where a code gadget is a number of (not necessarily consecutive) lines of code that are semantically related to each other. This leads to the design and implementation of a deep learning-based vulnerability detection system, called Vulnerability Deep Pecker (VulDeePecker). In order to evaluate VulDeePecker, we present the first vulnerability dataset for deep learning approaches. Experimental results show that VulDeePecker can achieve much fewer false negatives (with reasonable false positives) than other approaches. We further apply VulDeePecker to 3 software products (namely Xen, Seamonkey, and Libav) and detect 4 vulnerabilities, which are not reported in the National Vulnerability Database but were ""silently"" patched by the vendors when releasing later versions of these products; in contrast, these vulnerabilities are almost entirely missed by the other vulnerability detection systems we experimented with. ",,https://docs.google.com/document/d/1T6ga18o_7C38bGIQkL2xFL_X_cKABmgfEs63zmP6mzo/edit
,Vuldiggerpaper,C/C++,"1) The lack of a ground-truth dataset 2) Code changes could not retain the original structure and integrity like files or components, hence many established measures (e.g., code complexity, coupling, and cohesion) and commercial analysis tools (e.g., Understand C++) are not directly applicable",Vuldigger: a just-in-time and cost-aware tool for digging vulnerability-contributing changes,Training data problem,Hybrid,N.A,Bugzilla,"MFSA, Firefox",Commits files characteristics,Numerical,Commit Metrics,Commit Metrics,N.A,commit metrics,Others,N.A,N.A,ML,N.A,Random Forest,Binary,No,"It has been widely adopted to minimize the maintenance cost by predicting potential vulnerabilities before code audits in academia and industry. Most previous research dedicated to file/component level vulnerability prediction models is coarse- grained and may suffer from cost-prohibitive and impractical security testing activities. In this paper, we focus on a cost- aware vulnerability prediction model and present a just-in-time change-level code review tool called VulDigger to dig suspicious ones from a sea of code changes. Our contributions benefit from the case study of Mozilla Firefox by constructing a large-scale vulnerability-contributing changes (VCCs) dataset in a semi-automatic fashion. We then further manifest a classification tool with a mixture of established and new metrics derived from both software defect prediction and vulnerability prediction. Consequently, the precision of such tool is extremely promising (i.e., 92%) for an effort-aware software team. We also examine the return on investment by training a regression model to locate most skeptical changes with fewer lines to inspect. Our findings suggest that such model is capable of pinpointing 31% of all VCCs with only 20% of the effort it would take to audit all changes (i.e., 55% better than random predictor). Our outputs can assist as an early step of continuous security inspections as it provides immediate feedback once developers submit changes to their code base.",,
,li2021vulnerability,C/C++,"Despite several advantages, the ML/DL-based VD approaches are still limited to providing only coarse-grained detection results  on whether an entire given method is vulnerable or not. In comparison with the PA-based approaches, they fall short in the ability to elaborate on the fine-grained details of the lines of code with specific statements that might be involved in the detected vulnerability. ",vulnerability detection with fine grained interpretations,Granularity,Hybrid,"FFMPeg, Qemu",N.A,"Fan et al, Reveal",PDG over functions,Code,Source code,Graph,Graph+Tree+Token,"GloVe, GRU, Tree-LSTM",Token vector embedding,N.A,N.A,DL,Hybrid,"GCN, GRU, Tree-LSTM",interperetable,yes,"Despite the successes of machine learning (ML) and deep learning (DL)-based vulnerability detectors (VD), they are limited to providing only the decision on whether a given code is vulnerable or not, without details on what part of the code is relevant to the detected vulnerability. We present IVDetect, an interpretable vulnerability detector with the philosophy of using Artificial Intelligence (AI) to detect vulnerabilities, while using Intelligence Assistant (IA) to provide VD interpretations in terms of vulnerable statements.For vulnerability detection, we separately consider the vulnerable statements and their surrounding contexts via data and control dependencies. This allows our model better discriminate vulnerable statements than using the mixture of vulnerable code and contextual code as in existing approaches. In addition to the coarse-grained vulnerability detection result, we leverage interpretable AI to provide users with fine-grained interpretations that include the sub-graph in the Program Dependency Graph (PDG) with the crucial statements that are relevant to the detected vulnerability. Our empirical evaluation on vulnerability databases shows that IVDetect outperforms the existing DL-based approaches by 43%–84% and 105%–255% in top-10 nDCG and MAP ranking scores. IVDetect correctly points out the vulnerable statements relevant to the vulnerability via its interpretation in 67% of the cases with a top-5 ranked list. IVDetect improves over the baseline interpretation models by 12.3%–400% and 9%–400% in accuracy.",,https://docs.google.com/document/d/1_8CdioLGKq_XzAQaDj1nye1shZFzcJF1a3Vy-qlZc6U/edit?usp=sharing
,yamaguchi2011vulnerability,C/C++,"Instead of struggling with the limitations of automatic analysis, the proposed method aims at rendering manual auditing more effective by assisting and guiding the inspection of source code.",Vulnerability Extrapolation: Assisted Discovery of Vulnerabilities using Machine Learning,Others,Open Source Projects,"FFmpeg, Linux Kernel",N.A,N.A,functions,Code,Source code,Token,N.A,TF-IDF,Others,N.A,N.A,ML,N.A,PCA,Vulnerability Extrapolation,no,"Rigorous identification of vulnerabilities in program code is a key to implementing and operating secure systems. Unfortunately, only some types of vulnerabilities can be detected automatically. While techniques from software testing can accelerate the search for security flaws, in the general case discovery of vulnerabilities is a tedious process that requires significant expertise and time. In this paper, we propose a method for assisted discovery of vulnerabilities in source code. Our method proceeds by embedding code in a vector space and automatically determining API usage patterns using machine learning. Starting from a known vulnerability, these patterns can be exploited to guide the auditing of code and to identify potentially vulnerable code with similar characteristics--a process we refer to as vulnerability extrapolation. We empirically demonstrate the capabilities of our method in different experiments. In a case study with the library FFmpeg, we are able to narrowthe search for interesting code from 6,778 to 20 functions and discover two security flaws, one being a known flaw and the other constituting a zero-day vulnerability.",,https://docs.google.com/document/d/1-eFPGgjJ-3l5XahXgzbGDlzN87qoy3Xda927fndUj1E/edit?usp=sharing
,duan2019vulsniper,C/C++,Considering semantic information of functions by using CPGs,VulSniper focus your attention to shoot fine grained vulnerabilities,Semantic,Benchmark,N.A,N.A,SARD,CPG over functions,Code,Source code,Graph,N.A,adjacency matrix,Graph embedding,"CWE-119, CWE-399",N.A,DL,Attention Mechanism,Attention Mechanism,Binary,No,"With the explosive development of information technology, vulnerabilities have become one of the major threats to computer security. Most vulnerabilities with similar patterns can be detected effectively by static analysis methods. However, some vulnerable and non-vulnerable code is hardly distinguishable, resulting in low detection accuracy. In this paper, we define the accurate identification of vulnerabilities in similar code as a fine-grained vulnerability detection problem. We propose Vul-Sniper which is designed to detect fine-grained vulnerabilities more effectively. In VulSniper, attention mechanism is used to capture the critical features of the vulnerabilities. Especially, we use bottom-up and top-down structures to learn the attention weights of different areas of the program. Moreover, in order to fully extract the semantic features of the program, we generate the code property graph, design a 144-dimensional vector to describe the relation between the nodes, and finally encode the program as a feature tensor. VulSniper achieves F1-scores of 80.6% and 73.3% on the two benchmark datasets, the SARD Buffer Error dataset and the SARD Resource Management Error dataset respectively, which are significantly higher than those of the state-of-the-art methods.",,https://docs.google.com/document/d/13r2Ld5R7-ELmXG5g2ZDgGGhjCQnlop3VW3U2LbD_thE/edit?usp=sharing
